FLIGHT,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE
1731-ATL-PHL,ATL,PHL,2016-09-01 19:45:00,2016-09-01 21:48:00,666.0
1887-ATL-PHL,ATL,PHL,2016-09-01 17:25:00,2016-09-01 19:26:00,666.0
2015-ATL-CLT,ATL,CLT,2016-09-01 19:59:00,2016-09-01 21:19:00,226.0
2032-ATL-CLT,ATL,CLT,2016-09-01 13:35:00,2016-09-01 14:54:00,226.0
2053-ATL-CLT,ATL,CLT,2016-09-01 08:55:00,2016-09-01 10:17:00,226.0
2072-ATL-PHL,ATL,PHL,2016-09-01 12:46:00,2016-09-01 14:49:00,666.0
2085-ATL-PHL,ATL,PHL,2016-09-01 08:15:00,2016-09-01 10:20:00,666.0
2595-ATL-DFW,ATL,DFW,2016-09-01 09:43:00,2016-09-01 12:10:00,731.0
456-ATL-CLT,ATL,CLT,2016-09-01 10:40:00,2016-09-01 11:56:00,226.0
596-ATL-PHX,ATL,PHX,2016-09-01 18:05:00,2016-09-01 22:06:00,1587.0
610-ATL-DFW,ATL,DFW,2016-09-01 16:22:00,2016-09-01 18:50:00,731.0
629-ATL-DFW,ATL,DFW,2016-09-01 19:45:00,2016-09-01 22:13:00,731.0
718-ATL-PHL,ATL,PHL,2016-09-01 14:35:00,2016-09-01 16:38:00,666.0
786-ATL-CLT,ATL,CLT,2016-09-01 15:35:00,2016-09-01 16:57:00,226.0
794-ATL-PHX,ATL,PHX,2016-09-01 20:55:00,2016-09-02 00:52:00,1587.0
1652-ATL-MIA,ATL,MIA,2016-09-01 17:00:00,2016-09-01 18:59:00,594.0
1678-ATL-LGA,ATL,LGA,2016-09-01 16:55:00,2016-09-01 19:13:00,762.0
1682-ATL-CLT,ATL,CLT,2016-09-01 05:45:00,2016-09-01 06:51:00,226.0
1683-ATL-LGA,ATL,LGA,2016-09-01 06:00:00,2016-09-01 08:15:00,762.0
145-LAS-LAX,LAS,LAX,2016-09-01 09:15:00,2016-09-01 10:28:00,236.0
73-LAS-LAX,LAS,LAX,2016-09-01 22:00:00,2016-09-01 23:20:00,236.0
1203-LAS-LAX,LAS,LAX,2016-09-01 17:45:00,2016-09-01 19:04:00,236.0
1107-LAS-MIA,LAS,MIA,2016-09-01 12:45:00,2016-09-01 17:29:00,2174.0
